Godina,Obim H-START,Obim BG-Bar,Zaposlenost,BDP (din),Broj stanovnika,Prosecna plata (din)
2009,75827,300493,1889085,3052136,7321500,31758
2010,88601,226224,1795775,3250581,7281550,34159
2011,97775,276923,1746138,3612267,7251549,34800
2012,97511,231196,1727408,3810058,7216649,41386
2013,109385,204648,1715163,4121200,7181505,43948
2014,92607,101835,1995868,4460549,7146759,44525
2015,86618,136323,1997688,4310283,7107342,44227
2016,82499,131775,2009785,4521265,7076377,46087
2017,90568,103335,2026582,4754386,7040276,47863
2018,88752,132127,2173015,5068589,6997264,52681
2019,34708,128461,2173135,5410794,6963764,54908
